Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Population,Area,Density,Total_Crime,Crime_Rate_per_100k,Hotspot_Label,Hotspot,Date
Kwazulu/Natal,Point,All Theft Not Mentioned Elsewhere,1460.0,1482.0,1255.0,1095.0,932.0,912.0,872.0,905.0,878.0,688.0,649.0,10267300.0,94361.0,108.8,11128.0,108.38292442998646,1,1,2024-02-01
Eastern Cape,Grahamstown,All Theft Not Mentioned Elsewhere,1426.0,1304.0,1102.0,920.0,883.0,1223.0,956.0,836.0,774.0,650.0,571.0,5404868.0,168966.0,38.8,10645.0,196.95208097589065,1,1,2024-03-01
Gauteng,Midrand,All Theft Not Mentioned Elsewhere,1424.0,1401.0,1252.0,1375.0,1647.0,1835.0,2026.0,2032.0,1985.0,1847.0,1775.0,12272263.0,18178.0,675.1,18599.0,151.55314060658577,1,1,2024-04-01
Gauteng,Sophia Town,All Theft Not Mentioned Elsewhere,1422.0,1150.0,1075.0,897.0,772.0,985.0,890.0,1094.0,994.0,1038.0,1089.0,12272263.0,18178.0,675.1,11406.0,92.94129371249622,1,1,2024-05-01
Gauteng,Sinoville,All Theft Not Mentioned Elsewhere,1420.0,1503.0,1034.0,1058.0,1092.0,1028.0,996.0,1019.0,1031.0,1092.0,863.0,12272263.0,18178.0,675.1,12136.0,98.88966688539838,1,1,2024-06-01
Kwazulu/Natal,Empangeni,All Theft Not Mentioned Elsewhere,1417.0,1374.0,1375.0,1004.0,962.0,936.0,946.0,10.0,956.0,861.0,925.0,10267300.0,94361.0,108.8,10766.0,104.85716790198008,1,1,2024-07-01
Western Cape,Elsies River,All Theft Not Mentioned Elsewhere,1411.0,1737.0,8.0,1588.0,1348.0,1368.0,1570.0,1316.0,1354.0,1502.0,1168.0,5822734.0,129462.0,45.0,14370.0,246.79128395698652,1,1,2024-08-01
Gauteng,Booysens,Theft Out Of Or From Motor Vehicle,1405.0,1120.0,985.0,903.0,949.0,942.0,789.0,636.0,451.0,397.0,360.0,12272263.0,18178.0,675.1,8937.0,72.82275485784488,1,1,2024-09-01
North West,Brits,All Theft Not Mentioned Elsewhere,1405.0,1309.0,1426.0,1595.0,1520.0,1325.0,1025.0,913.0,1160.0,1019.0,955.0,5404868.0,104882.0,33.5,13652.0,252.58711221069598,1,1,2024-10-01
Eastern Cape,Bethelsdorp,All Theft Not Mentioned Elsewhere,1402.0,1431.0,1494.0,1227.0,934.0,1058.0,1073.0,882.0,784.0,792.0,593.0,5404868.0,168966.0,38.8,11670.0,215.91646641509098,1,1,2024-11-01
Limpopo,Polokwane,Theft Out Of Or From Motor Vehicle,1402.0,1040.0,900.0,768.0,897.0,810.0,1319.0,851.0,1031.0,997.0,989.0,5404868.0,125755.0,43.0,11004.0,203.59424133947397,1,1,2024-12-01
Western Cape,Goodwood,All Theft Not Mentioned Elsewhere,1402.0,1286.0,1323.0,1306.0,1286.0,1132.0,1257.0,10.0,1311.0,1286.0,1009.0,5822734.0,129462.0,45.0,12608.0,216.53058511688837,1,1,2025-01-01
Kwazulu/Natal,Pietermaritzburg,All Theft Not Mentioned Elsewhere,1402.0,1628.0,1134.0,1173.0,1070.0,1074.0,1195.0,1211.0,1394.0,1459.0,1202.0,10267300.0,94361.0,108.8,13942.0,135.79032462283172,1,1,2025-02-01
